,band,ccdVisitId,coord_ra,coord_dec,objectId,psfFlux,psfFluxErr,psfMag,ccdVisitId2,band2,expMidptMJD,zeroPoint
0,y,1032263018,62.4625692,-44.1133595,1251384969897480052,-515.1836028,1697.2184905,,1032263018,y,61100.0697062,30.6023
1,y,1033987172,62.4625692,-44.1133595,1251384969897480052,3151.7384591,1686.9557754,22.653624571930173,1033987172,y,61102.0684642,30.6061
2,u,675163080,62.4625692,-44.1133595,1251384969897480052,183.449123,209.242045,25.741210900246656,675163080,u,60582.2471442,30.4691
3,y,443055067,62.4625692,-44.1133595,1251384969897480052,-704.8483274,1624.4000861,,443055067,y,60215.2035852,30.6128
4,u,466722002,62.4625692,-44.1133595,1251384969897480052,382.4722333,278.92667,24.94350022063739,466722002,u,60261.0782212,30.4612
5,y,460836030,62.4625692,-44.1133595,1251384969897480052,1035.9379007,1170.5849314,23.861665693985756,460836030,y,60245.2011022,30.6368
6,u,1188282047,62.4625692,-44.1133595,1251384969897480052,-14.6431797,209.8488966,,1188282047,u,61322.1785842,30.4752
7,y,169769054,62.4625692,-44.1133595,1251384969897480052,470.9689469,1262.1256151,24.717519317286936,169769054,y,59805.3185672,30.6328
8,u,675230115,62.4625692,-44.1133595,1251384969897480052,-70.9677235,194.81973,,675230115,u,60582.2776822,30.4776
9,u,466721079,62.4625692,-44.1133595,1251384969897480052,211.8099123,282.0403652,25.585134298998366,466721079,u,60261.0777762,30.444
10,y,475637116,62.4625692,-44.1133595,1251384969897480052,3578.7417575,1882.8339584,22.515674098073006,475637116,y,60274.0757602,30.5913
11,u,782176022,62.4625692,-44.1133595,1251384969897480052,-179.9511494,157.3151111,,782176022,u,60731.0440582,30.4848
12,y,1141246007,62.4625692,-44.1133595,1251384969897480052,-126.9680918,1408.9252771,,1141246007,y,61254.3648082,30.6232
13,u,700225100,62.4625692,-44.1133595,1251384969897480052,34.8529935,151.532392,27.544399786762895,700225100,u,60613.1148232,30.4854
14,u,739691120,62.4625692,-44.1133595,1251384969897480052,340.9393346,228.6014612,25.068307226949347,739691120,u,60673.1041662,30.4689
15,y,1141216110,62.4625692,-44.1133595,1251384969897480052,4374.4139622,1393.0654694,22.29770030233585,1141216110,y,61254.3513892,30.6226
16,y,51618156,62.4625692,-44.1133595,1251384969897480052,1822.0707856,1247.458443,23.248586887839046,51618156,y,59648.0136592,30.626
17,y,688946103,62.4625692,-44.1133595,1251384969897480052,-2104.5295845,1383.1123439,,688946103,y,60599.1625192,30.6331
18,u,675213049,62.4625692,-44.1133595,1251384969897480052,45.5199409,201.7658147,27.254495776177702,675213049,u,60582.2695892,30.4741
19,y,280013102,62.4625692,-44.1133595,1251384969897480052,1602.8705822,1082.1577218,23.387753854291475,280013102,y,59975.0408092,30.638
20,y,443057154,62.4625692,-44.1133595,1251384969897480052,4277.8102075,1610.0473621,22.32194621892029,443057154,y,60215.2044752,30.6179
21,u,1187445079,62.4625692,-44.1133595,1251384969897480052,-407.4098843,218.1403154,,1187445079,u,61321.1909252,30.47
22,y,555236062,62.4625692,-44.1133595,1251384969897480052,-513.9071144,1320.546024,,555236062,y,60396.0048132,30.6271
23,u,235080112,62.4625692,-44.1133595,1251384969897480052,-27.0614089,218.8586329,,235080112,u,59904.0842892,30.474
24,y,799065011,62.4625692,-44.1133595,1251384969897480052,625.4846516,1023.0859798,24.409458356841704,799065011,y,60756.0029832,30.6375
25,y,330588082,62.4625692,-44.1133595,1251384969897480052,1879.8182012,2398.538055,23.214710374225636,330588082,y,60039.9783222,30.6336
26,u,700265135,62.4625692,-44.1133595,1251384969897480052,18.8499204,144.5660568,28.21172619851467,700265135,u,60613.1327722,30.4794
27,y,1176210148,62.4625692,-44.1133595,1251384969897480052,-42.3066586,1619.4280248,,1176210148,y,61308.2271532,30.6142
28,y,246655131,62.4625692,-44.1133595,1251384969897480052,448.5215276,1163.7913194,24.770541768430903,246655131,y,59920.0884382,30.6355
29,u,1187410017,62.4625692,-44.1133595,1251384969897480052,244.4342558,227.2502579,25.429594826859287,1187410017,u,61321.1752202,30.4711
30,u,1187409058,62.4625692,-44.1133595,1251384969897480052,356.7048236,233.8031226,25.01922754450736,1187409058,u,61321.1747752,30.469
31,y,515067060,62.4625692,-44.1133595,1251384969897480052,-633.8173613,1682.6996888,,515067060,y,60334.1629802,30.6094
32,z,458795181,62.4625692,-44.1133595,1251384969897480052,450.5189701,514.5913279,24.76571729341986,458795181,z,60242.3697502,31.463
33,z,1198433117,62.4625692,-44.1133595,1251384969897480052,966.4837206,585.2456027,23.937013642017,1198433117,z,61336.1417232,31.4587
34,z,226982024,62.4625692,-44.1133595,1251384969897480052,929.4236554,459.7291865,23.979465695473117,226982024,z,59886.1124602,31.4642
35,z,1040761130,62.4625692,-44.1133595,1251384969897480052,854.7000323,433.4754509,24.070465699071054,1040761130,z,61110.0173062,31.4603
36,z,447924112,62.4625692,-44.1133595,1251384969897480052,488.6137849,430.92193,24.67758571190035,447924112,z,60223.3810582,31.4638
